Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
FRESHBUS,Electric A/C Seater (2+2),22:35,05:40,07h 05m,328,27 Seats available,"4.7
577",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,INR 319,27 Seats available,"4.6
921",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
IntrCity SmartBus,AC Sleeper (2+1),23:50,06:00,06h 10m,INR 499,17 Seats available,"4.6
880",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
FRESHBUS,,18:00,23:40,05h 40m,328,32 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:00,21:55,05h 55m,INR 720,34 Seats available,"3.8
74",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
APSRTC - 35271,INDRA(A.C. Seater),16:00,22:05,06h 05m,INR 567,31 Seats available,"3.0
67",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
APSRTC - 35061,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:00,00:10,08h 10m,INR 469,29 Seats available,"2.9
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
APSRTC - 9603,Express Non AC Seater 2+3,16:00,22:20,06h 20m,INR 296,41 Seats available,"3.4
7",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
APSRTC - 3879,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:15,23:00,06h 45m,INR 426,31 Seats available,"3.6
18",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
APSRTC - 4157,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,23:00,06h 15m,INR 426,31 Seats available,"3.8
29",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
