Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
SREE CHAITANYA,Non AC Seater (2+2),17:30,23:00,05h 30m,INR 300,43 Seats available,,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Guwahati to Dhubri,ASTC
Priyanka,Non AC Seater (2+1),19:00,05:30,10h 30m,INR 600,20 Seats available,"4.0
5",https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Jorhat to North Lakhimpur,ASTC
Sylvan DEE Transport,Non AC Seater (2+1),18:00,05:30,11h 30m,INR 660,29 Seats available,3.3,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar,North Lakhimpur to Sibsagar (Assam),ASTC
ANIRUDDHA TRAVELS,Non A/C Seater / Sleeper (2+1),20:00,04:00,08h 00m,INR 600,13 Seats available,"3.3
128",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur,ASTC
J.S. Travels,Non AC Seater (2+1),19:00,04:00,09h 00m,INR 500,17 Seats available,"1.6
17",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur,ASTC
SANJEEBANI TRAVELS,NON AC Seater / Sleeper 2+1,18:45,03:00,08h 15m,INR 600,18 Seats available,New,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur,ASTC
KIRTI TRAVELS,NON A/C Seater/ Sleeper (2+1),19:30,05:00,09h 30m,INR 550,6 Seats available,"2.0
7",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur,ASTC
Neha Travels,NON A/C Seater (2+2),17:00,03:15,10h 15m,INR 775,18 Seats available,2.6,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Dibrugarh to Tezpur,ASTC
Maa Laxmi,NON A/C Seater Push Back (2+1),17:00,21:30,04h 30m,350,22 Seats available,"3.3
8",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat,ASTC
Trishul Transport Service,A/C Seater / Sleeper (2+1),19:15,22:55,03h 40m,463,26 Seats available,"4.1
12",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat,ASTC
Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),19:30,23:15,03h 45m,400,45 Seats available,"3.9
27",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat,ASTC
Purple Wings Coaches,A/C Seater / Sleeper (2+1),20:05,00:20,04h 15m,540,42 Seats available,"4.6
6",https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat,ASTC
Bashudev Transline,A/C Seater / Sleeper (2+1),21:45,01:30,03h 45m,INR 700,36 Seats available,4.4,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Dibrugarh to Jorhat,ASTC
Yatra Travels,NON A/C Seater (2+1),18:00,01:30,07h 30m,400,20 Seats available,"4.1
45",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali,ASTC
Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,00:30,05h 45m,400,29 Seats available,"4.1
51",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali,ASTC
Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:05,01:05,06h 00m,550,30 Seats available,"3.8
27",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali,ASTC
Yatra Travels,NON A/C Seater/ Sleeper (2+1),19:30,01:10,05h 40m,400,23 Seats available,"3.4
8",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali,ASTC
,,,,,,,,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali,ASTC
Air Bus Travels,NON AC Seater / Sleeper 2+1,21:15,02:00,04h 45m,INR 400,10 Seats available,"4.1
5",https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Dibrugarh to North Lakhimpur,ASTC
Air Bus Travels,NON AC Seater / Sleeper 2+1,19:40,01:00,05h 20m,INR 400,33 Seats available,"2.6
11",https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Dibrugarh to North Lakhimpur,ASTC
