Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
FRESHBUS,AC Seater,22:35,05:40,07h 05m,328.0,27 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
IntrCity SmartBus,AC Sleeper,23:05,06:00,06h 55m,319.0,27 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
IntrCity SmartBus,AC Sleeper,23:50,06:00,06h 10m,499.0,17 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
FRESHBUS,0,18:00,23:40,05h 40m,328.0,32 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,APSRTC
APSRTC - 35133,AC Sleeper,16:00,21:55,05h 55m,720.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
APSRTC - 35271,AC Seater,16:00,22:05,06h 05m,567.0,31 Seats available,3.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
APSRTC - 35061,NON AC Seater,16:00,00:10,08h 10m,469.0,29 Seats available,2.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC
APSRTC - 9603,NON AC Seater,16:00,22:20,06h 20m,296.0,41 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
APSRTC - 3879,NON AC Seater,16:15,23:00,06h 45m,426.0,31 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
APSRTC - 4157,NON AC Seater,16:45,23:00,06h 15m,426.0,31 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,APSRTC
APSRTC - 6005,NON AC Seater,16:30,23:30,07h 00m,472.0,30 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa,APSRTC
APSRTC - 5779,NON AC Seater,17:15,23:50,06h 35m,443.0,31 Seats available,1.7,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa,APSRTC
APSRTC - 5226,NON AC Seater,17:45,02:00,08h 15m,472.0,31 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa,APSRTC
APSRTC - 2524,NON AC Seater,16:15,20:15,04h 00m,281.0,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam,APSRTC
APSRTC - 2695,NON AC Seater,16:30,19:30,03h 00m,281.0,30 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam,APSRTC
APSRTC - 3406,NON AC Seater,16:45,20:30,03h 45m,281.0,34 Seats available,2.5,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam,APSRTC
APSRTC - 2891,0,17:00,20:00,03h 00m,340.0,0,3.5,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam,APSRTC
APSRTC - 5870,NON AC Seater,18:30,04:00,09h 30m,522.0,31 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole,APSRTC
APSRTC - 5070,NON AC Seater,18:45,03:15,08h 30m,524.0,29 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole,APSRTC
