Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,23:00,07:00,08h 00m,INR 550,22 Seats available,"1.7
7",https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Sirohi (Rajasthan) to Bikaner,GSRTC
Rytham Tours And Travels,NON A/C Sleeper (2+1),23:35,06:35,07h 00m,699,16 Seats available,"1.9
4",https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Sirohi (Rajasthan) to Bikaner,GSRTC
Parshwanath Travel Pvt. Ltd,Bharat Benz A/C Sleeper (2+1),23:55,07:30,07h 35m,904,2 Seats available,4.0,https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Sirohi (Rajasthan) to Bikaner,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),21:00,04:35,07h 35m,569,33 Seats available,"4.2
27",https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Sirohi (Rajasthan) to Bikaner,GSRTC
Royal Karnavati (TNB Travels),A/C Seater / Sleeper (2+1),23:30,07:45,08h 15m,664,19 Seats available,"4.6
6",https://www.redbus.in/bus-tickets/sirohi-to-bikaner,Sirohi (Rajasthan) to Bikaner,GSRTC
Parshwanath Travel Pvt. Ltd,Bharat Benz A/C Sleeper (2+1),19:00,07:30,12h 30m,904,2 Seats available,"4.4
76",https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner,GSRTC
Royal Karnavati (TNB Travels),A/C Seater / Sleeper (2+1),19:15,07:45,12h 30m,724,7 Seats available,"4.6
64",https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner,GSRTC
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,17:00,07:00,14h 00m,INR 550,16 Seats available,"4.0
15",https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner,GSRTC
Shrinath® Travel Agency Pvt. Ltd.,A/C Seater / Sleeper (2+1),20:15,09:30,13h 15m,INR 800,20 Seats available,"2.2
129",https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner,GSRTC
Rytham Tours And Travels,NON A/C Sleeper (2+1),16:45,06:35,13h 50m,699,16 Seats available,"1.4
9",https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner,GSRTC
RSRTC - 193688,Deluxe AC Seater 2+2,18:00,23:30,05h 30m,INR 481,37 Seats available,3.7,https://www.redbus.in/bus-tickets/jodhpur-to-bikaner,Jodhpur to Bikaner,GSRTC
Pooja Paraswnath Travels,A/C Seater / Sleeper (2+1),16:40,21:20,04h 40m,INR 430,21 Seats available,"4.5
52",https://www.redbus.in/bus-tickets/jodhpur-to-bikaner,Jodhpur to Bikaner,GSRTC
RATHORE TRAVELS AGENCY,A/C Seater / Sleeper (2+1),18:00,23:15,05h 15m,INR 530,30 Seats available,"3.3
31",https://www.redbus.in/bus-tickets/jodhpur-to-bikaner,Jodhpur to Bikaner,GSRTC
Chandra Raj Travels,AC Sleeper (2+1),18:30,23:30,05h 00m,INR 530,22 Seats available,"3.9
74",https://www.redbus.in/bus-tickets/jodhpur-to-bikaner,Jodhpur to Bikaner,GSRTC
Chandra Raj Travels,A/C Seater / Sleeper (2+1),20:00,00:45,04h 45m,INR 430,31 Seats available,3.6,https://www.redbus.in/bus-tickets/jodhpur-to-bikaner,Jodhpur to Bikaner,GSRTC
Jakhar Travels,A/C Seater / Sleeper (2+1),21:00,06:15,09h 15m,INR 648,23 Seats available,"4.7
99",https://www.redbus.in/bus-tickets/jodhpur-to-hanumangarh,Jodhpur to Hanumangarh,GSRTC
Chandra Raj Travels,A/C Seater / Sleeper (2+1),20:00,05:45,09h 45m,INR 650,31 Seats available,"3.2
20",https://www.redbus.in/bus-tickets/jodhpur-to-hanumangarh,Jodhpur to Hanumangarh,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),23:55,09:30,09h 35m,INR 599,27 Seats available,"3.5
16",https://www.redbus.in/bus-tickets/jodhpur-to-hanumangarh,Jodhpur to Hanumangarh,GSRTC
RATHORE TRAVELS AGENCY,A/C Seater / Sleeper (2+1),18:00,03:50,09h 50m,INR 900,31 Seats available,2.7,https://www.redbus.in/bus-tickets/jodhpur-to-hanumangarh,Jodhpur to Hanumangarh,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),22:30,04:35,06h 05m,569,33 Seats available,"4.6
12",https://www.redbus.in/bus-tickets/sumerpur-to-bikaner,Sumerpur (Rajasthan) to Bikaner,GSRTC
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,23:30,07:00,07h 30m,INR 550,22 Seats available,3.1,https://www.redbus.in/bus-tickets/sumerpur-to-bikaner,Sumerpur (Rajasthan) to Bikaner,GSRTC
Jain travels regd,AC Sleeper (2+1),21:30,05:15,07h 45m,INR 850,14 Seats available,"4.3
30",https://www.redbus.in/bus-tickets/jodhpur-to-suratgarh,Jodhpur to Suratgarh,GSRTC
SHINE STAR LUXARY COACH AND CARGO,AC Sleeper (2+1),21:10,05:30,08h 20m,INR 800,18 Seats available,"3.9
29",https://www.redbus.in/bus-tickets/jodhpur-to-suratgarh,Jodhpur to Suratgarh,GSRTC
RATHORE TRAVELS AGENCY,A/C Seater / Sleeper (2+1),18:00,02:40,08h 40m,INR 800,20 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-suratgarh,Jodhpur to Suratgarh,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),23:55,08:00,08h 05m,INR 599,40 Seats available,"2.9
8",https://www.redbus.in/bus-tickets/jodhpur-to-suratgarh,Jodhpur to Suratgarh,GSRTC
Chandra Raj Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),21:15,05:15,08h 00m,INR 800,25 Seats available,2.8,https://www.redbus.in/bus-tickets/jodhpur-to-suratgarh,Jodhpur to Suratgarh,GSRTC
RSRTC - 191942,Express Non AC Seater 2+3,22:45,11:00,12h 15m,INR 543,42 Seats available,3.7,https://www.redbus.in/bus-tickets/abu-road-to-bikaner,Abu Road to Bikaner,GSRTC
Shrinath® Travel Agency Pvt. Ltd.,AC Sleeper (2+1),22:30,07:40,09h 10m,INR 800,30 Seats available,"1.0
5",https://www.redbus.in/bus-tickets/abu-road-to-bikaner,Abu Road to Bikaner,GSRTC
Rytham Tours And Travels,NON A/C Sleeper (2+1),21:26,06:35,09h 09m,699,19 Seats available,"1.2
6",https://www.redbus.in/bus-tickets/abu-road-to-bikaner,Abu Road to Bikaner,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),19:30,04:35,09h 05m,569,40 Seats available,"4.7
14",https://www.redbus.in/bus-tickets/abu-road-to-bikaner,Abu Road to Bikaner,GSRTC
