Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 512,26 Seats available,"3.7
6",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
HRTC - 2040094,Ordinary 3+2 Non AC Seater,18:31,04:15,09h 44m,INR 512,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:50,09h 15m,INR 912,14 Seats available,"4.1
45",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,HRTC
HRTC - 103,Ordinary 3+2 Non AC Seater,17:18,02:15,08h 57m,INR 512,37 Seats available,"1.5
4",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi,HRTC
HRTC - 181,Ordinary 3+2 Non AC Seater,17:50,04:15,10h 25m,INR 512,37 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi,HRTC
HRTC - 104,A/C Executive (2+3),18:20,04:30,10h 10m,INR 632,44 Seats available,"3.7
21",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi,HRTC
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi,HRTC
