Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,21:05,05h 40m,INR 269,47 Seats available,"3.1
7",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,21:15,05h 35m,INR 269,44 Seats available,"2.5
16",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 2898,Low Floor AC Seater 2+2,16:00,22:15,06h 15m,INR 383,7 Seats available,"3.7
17",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 2874,Super Fast Non AC Seater (2+3),16:20,22:30,06h 10m,INR 230,29 Seats available,"3.6
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),17:25,22:40,05h 15m,INR 269,27 Seats available,"1.0
5",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,18:00,00:15,06h 15m,INR 383,17 Seats available,"2.4
15",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),18:00,22:50,04h 50m,INR 309,12 Seats available,"1.9
19",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,23:44,05h 14m,INR 383,6 Seats available,"3.1
41",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 2453,Low Floor AC Seater 2+2,19:00,00:20,05h 20m,INR 383,17 Seats available,"3.4
9",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,01:01,04h 36m,INR 309,12 Seats available,"4.0
4",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,INR 600,12 Seats available,"3.3
192",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,INR 450,13 Seats available,"3.6
48",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,02:01,04h 16m,INR 800,13 Seats available,"4.1
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,01:45,03h 30m,INR 750,17 Seats available,"3.2
21",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
Madhavi Travels,A/C Sleeper (2+1),22:20,02:35,04h 15m,949,8 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KSRTC
KSRTC (Kerala) - 3785,AC MULTI AXLE,15:24,23:30,08h 06m,INR 986,24 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:00,00:10,08h 10m,INR 677,13 Seats available,"3.9
16",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),16:15,00:20,08h 05m,INR 677,15 Seats available,"3.4
10",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,04:25,09h 20m,INR 976,2 Seats available,"3.7
60",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,KSRTC
MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 999,7 Seats available,"4.4
567",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,KSRTC
DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,INR 1399,6 Seats available,"4.4
313",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,KSRTC
Highline Transports,VE A/C Sleeper (2+1),21:45,06:45,09h 00m,INR 960,9 Seats available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,KSRTC
Skylite Travels,,22:00,06:45,08h 45m,INR 1199,5 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,KSRTC
KSRTC (Kerala) - 3086,Swift Deluxe Non AC Air Bus (2+2),15:25,20:20,04h 55m,INR 278,26 Seats available,"1.9
8",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,KSRTC
KSRTC (Kerala) - 2711,Super Fast Non AC Seater (2+3),16:00,21:30,05h 30m,INR 269,46 Seats available,"2.1
9",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,KSRTC
KSRTC (Kerala) - 765,Super Fast Non AC Seater (2+3),16:30,22:20,05h 50m,INR 269,50 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,KSRTC
KSRTC (Kerala) - 2498,Low Floor AC Seater 2+2,16:45,22:05,05h 20m,INR 383,27 Seats available,"2.7
9",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,KSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,KSRTC
