Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
Meghalaya Transport Corporation(MTC) - 178448,Tata A/C Seater Executive Luxury (2+2),17:00,03:30,10h 30m,INR 517,4 Seats available,"3.6
65",https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,Shillong to Tura (Meghalaya),MTC
NETWORK TRAVELS,NON A/C Seater (2+2),18:30,06:00,11h 30m,INR 750,15 Seats available,"4.1
75",https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,Shillong to Tura (Meghalaya),MTC
NETWORK TRAVELS,NON A/C Seater (2+2),19:00,08:00,13h 00m,INR 750,18 Seats available,"3.5
61",https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,Tura (Meghalaya) to Shillong,MTC
Meghalaya Transport Corporation(MTC) - 163308,Tata Non A/C Seater Executive Luxury (2+2),19:15,05:00,09h 45m,INR 384,2 Seats available,"3.2
144",https://www.redbus.in/bus-tickets/shillong-to-silchar,Shillong to Silchar,MTC
SEEMA TRAVELS,NON AC Seater / Sleeper 2+1,20:30,05:00,08h 30m,INR 650,39 Seats available,"2.2
12",https://www.redbus.in/bus-tickets/shillong-to-silchar,Shillong to Silchar,MTC
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater (2+1),22:30,07:00,08h 30m,INR 650,7 Seats available,"1.8
4",https://www.redbus.in/bus-tickets/shillong-to-silchar,Shillong to Silchar,MTC
Meghalaya Transport Corporation(MTC) - 178448,Tata A/C Seater Executive Luxury (2+2),17:00,05:00,12h 00m,INR 581,4 Seats available,"1.8
16",https://www.redbus.in/bus-tickets/shillong-to-williamnagar-meghalaya,Shillong to Williamnagar (Meghalaya),MTC
NETWORK TRAVELS,NON A/C Seater Push Back (2+1),21:30,06:15,08h 45m,INR 650,9 Seats available,3.8,https://www.redbus.in/bus-tickets/shillong-to-karimganj,Shillong to Karimganj,MTC
Bholanath Travels,Non AC Seater (2+1),21:30,06:00,08h 30m,INR 600,24 Seats available,,https://www.redbus.in/bus-tickets/shillong-to-karimganj,Shillong to Karimganj,MTC
Assam State Transport Corporation (ASTC) - 174344,NON A/C Seater Push Back (2+1),17:00,03:30,10h 30m,INR 408,7 Seats available,"4.3
4",https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong,MTC
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater (2+1),19:15,05:00,09h 45m,INR 650,30 Seats available,3.5,https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong,MTC
Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater Push Back (2+1),18:45,04:00,09h 15m,INR 600,34 Seats available,1.9,https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong,MTC
AR Travels,Non AC Seater (2+2),19:00,04:30,09h 30m,458,21 Seats available,1.2,https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong,MTC
Arhans Tour And Travels,Non AC Seater (2+2),19:00,04:00,09h 00m,540,9 Seats available,1.2,https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong,MTC
AR Travels,Non AC Seater (2+2),21:45,06:00,08h 15m,505,40 Seats available,1.2,https://www.redbus.in/bus-tickets/shillong-to-hailakandi,Shillong to Hailakandi,MTC
AR Travels,Non AC Seater (2+2),17:30,04:30,11h 00m,399,23 Seats available,1.2,https://www.redbus.in/bus-tickets/hailakandi-to-shillong,Hailakandi to Shillong,MTC
