Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:31,04:00,05h 29m,INR 445,33 Seats available,"3.1
269",https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU
Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,05:00,07h 00m,INR 3850,36 Seats available,"2.8
4",https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:30,06:30,07h 00m,INR 3300,36 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:30,02:30,07h 00m,INR 3300,43 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU
PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,03:31,05h 01m,INR 445,30 Seats available,"2.9
182",https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),20:00,03:00,07h 00m,INR 3300,18 Seats available,3.9,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU
Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,05:00,07h 00m,INR 3850,16 Seats available,3.9,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU
PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,04:50,09h 00m,INR 997,34 Seats available,"4.6
12",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,04:40,07h 50m,INR 873,36 Seats available,"4.3
40",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,05:50,09h 00m,INR 997,36 Seats available,"4.4
12",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
Laxmi holidays,VE A/C Sleeper (2+1),23:55,06:45,06h 50m,INR 550,18 Seats available,"4.4
362",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,05:20,08h 20m,INR 997,39 Seats available,"3.0
4",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),22:20,05:20,07h 00m,INR 873,39 Seats available,"2.6
5",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
PEPSU (Punjab) - 67064,Volvo AC Seater (2+2),23:58,07:58,08h 00m,INR 997,38 Seats available,"4.2
7",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
RSRTC - 156675,Express Non AC Seater 2+3,22:30,05:15,06h 45m,INR 436,39 Seats available,"1.5
10",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU
PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,04:50,09h 00m,INR 997,34 Seats available,"4.6
12",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,PEPSU
PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,04:40,07h 50m,INR 873,36 Seats available,"4.3
40",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,PEPSU
