Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
RSRTC - 197538,Express Non AC Seater 2+3,17:15,00:15,07h 00m,INR 294,42 Seats available,4.0,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
RSRTC - 193271,Express Non AC Seater 2+3,19:30,02:00,06h 30m,INR 294,34 Seats available,"4.2
10",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
RSRTC - 189622,Express Non AC Seater 2+3,22:00,05:00,07h 00m,INR 294,42 Seats available,"4.0
7",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
Shree Devnarayan Travels,,17:00,21:30,04h 30m,INR 599,,4.6,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur,RSRTC
RSRTC - 160785,Super Luxury Volvo AC Seater Pushback 2+2,17:30,21:30,04h 00m,INR 460,27 Seats available,"3.9
57",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
RSRTC - 190951,Express Non AC Seater 2+3,18:00,22:30,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
RSRTC - 193481,Express Non AC Seater 2+3,18:30,23:00,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,23:45,03h 45m,INR 460,30 Seats available,"3.2
41",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC
