Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
APSRTC - 3376,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,23:15,06h 30m,INR 436,25 Seats available,"4.2
10",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
APSRTC - 3570,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:15,23:55,06h 40m,INR 670,44 Seats available,"4.2
49",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
APSRTC - 2561,INDRA(A.C. Seater),17:15,22:45,05h 30m,INR 528,31 Seats available,"2.8
14",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,TSRTC
TGSRTC - 8620,RAJDHANI (A.C. Semi Sleeper),15:35,18:45,03h 10m,INR 389,37 Seats available,"3.0
25",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
TGSRTC - 1953,LAHARI A/C SLEEPER CUM SEATER,15:45,20:30,04h 45m,INR 389,36 Seats available,"2.5
46",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
TGSRTC - 1320,LAHARI A/C SLEEPER CUM SEATER,15:55,21:10,05h 15m,INR 389,38 Seats available,"3.4
48",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
TGSRTC - 8648,,16:00,19:30,03h 30m,INR 389,,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,TSRTC
TGSRTC - 34329,Super Luxury (Non AC Seater 2+2 Push Back),15:50,20:05,04h 15m,INR 320,31 Seats available,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
TGSRTC - 8623,RAJDHANI (A.C. Semi Sleeper),16:00,19:20,03h 20m,INR 389,30 Seats available,"4.8
17",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
TGSRTC - 4172,RAJDHANI (A.C. Semi Sleeper),16:15,20:15,04h 00m,INR 389,25 Seats available,"3.9
42",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,TSRTC
TGSRTC - 1260,Super Luxury (Non AC Seater 2+2 Push Back),15:40,21:40,06h 00m,INR 442,19 Seats available,"3.9
16",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam,TSRTC
TGSRTC - 1266,Super Luxury (Non AC Seater 2+2 Push Back),15:45,23:00,07h 15m,INR 442,20 Seats available,"4.4
52",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam,TSRTC
TGSRTC - 4322,Super Luxury (Non AC Seater 2+2 Push Back),19:45,08:00,12h 15m,INR 442,30 Seats available,"4.8
29",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam,TSRTC
TGSRTC - 1254,Super Luxury (Non AC Seater 2+2 Push Back),20:10,08:30,12h 20m,INR 442,31 Seats available,"4.4
32",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam,TSRTC
TGSRTC - 1252,Super Luxury (Non AC Seater 2+2 Push Back),20:15,08:30,12h 15m,INR 442,29 Seats available,"3.9
30",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam,TSRTC
TGSRTC - 7038,e-SUP LUXURY (2+2),16:00,19:00,03h 00m,INR 283,37 Seats available,"2.2
4",https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
TGSRTC - 7117,RAJDHANI (A.C. Semi Sleeper),16:00,19:00,03h 00m,INR 343,30 Seats available,"2.3
23",https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
TGSRTC - 7040,e-SUP LUXURY (2+2),16:40,19:40,03h 00m,INR 283,43 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,TSRTC
TGSRTC - 8030,Super Luxury (Non AC Seater 2+2 Push Back),16:00,21:10,05h 10m,INR 429,30 Seats available,"3.4
9",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,TSRTC
TGSRTC - 8017,Super Luxury (Non AC Seater 2+2 Push Back),16:15,21:35,05h 20m,INR 429,29 Seats available,"2.3
5",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,TSRTC
TGSRTC - 8139,Super Luxury (Non AC Seater 2+2 Push Back),16:30,21:40,05h 10m,INR 429,31 Seats available,"4.4
15",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,TSRTC
TGSRTC - 64828,Super Luxury (Non AC Seater 2+2 Push Back),16:15,22:50,06h 35m,INR 453,30 Seats available,"3.1
10",https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
TGSRTC - 2492,Super Luxury (Non AC Seater 2+2 Push Back),17:30,01:30,08h 00m,INR 456,31 Seats available,"4.8
4",https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
TGSRTC - 64363,Super Luxury (Non AC Seater 2+2 Push Back),18:00,23:55,05h 55m,INR 453,29 Seats available,"2.3
5",https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,TSRTC
TGSRTC - 7904,Super Luxury (Non AC Seater 2+2 Push Back),15:40,22:10,06h 30m,INR 504,16 Seats available,"3.7
17",https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad,TSRTC
TGSRTC - 1947,RAJDHANI (A.C. Semi Sleeper),15:45,22:45,07h 00m,INR 611,27 Seats available,"1.3
10",https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad,TSRTC
TGSRTC - 1139,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:50,21:20,05h 30m,INR 611,38 Seats available,"3.0
43",https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad,TSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad,TSRTC
